source,preprint_doi,published_doi,published_journal,preprint_title,preprint_authors,preprint_category,preprint_date,published_date,preprint_abstract
biorxiv,10.1101/2021.08.05.455205,10.1242/jcs.259220,Journal of Cell Science,Co-translational biogenesis of lipid droplet integral membrane proteins,"Leznicki, P.; Shi, W. Q.; High, S.",biochemistry,2021-08-05,2021-11-02,"Membrane proteins destined for lipid droplets (LDs), a major intracellular storage site for neutral lipids, are inserted into the endoplasmic reticulum (ER) and then trafficked to LDs where they reside in a hairpin loop conformation. Here, we show that LD membrane proteins can be delivered to the ER either co- or post-translationally and that their membrane-embedded region specifies pathway selection. The co-translational route for LD membrane protein biogenesis is insensitive to a small molecule inhibitor of the Sec61 translocon, Ipomoeassin F, and instead relies on the ER membrane protein complex (EMC) for membrane insertion. Strikingly, this route can also result in a transient exposure of the short N-termini of LD membrane proteins to the ER lumen, followed by topological rearrangements that enable their transmembrane segment to form a hairpin loop and N-termini to face the cytosol. Our study reveals an unexpected complexity to LD membrane protein biogenesis and identifies a role for the EMC during their co-translational insertion into the ER.

SUMMARY STATEMENTInsertion of many lipid droplet membrane proteins into the endoplasmic reticulum (ER) is co-translational, mediated by the ER membrane protein complex (EMC) and involves topology reorientation."
medrxiv,10.1101/2022.01.21.22269650,10.1038/s41467-023-36356-9,Nature Communications,Quantifying the direct and indirect protection provided by insecticide treated bed nets against malaria,"Unwin, H. J. T.; Sherrard-Smith, E.; Churcher, T. S.; Ghani, A.",infectious diseases,2022-01-21,2023-02-08,"Long lasting insecticide treated mosquito nets (LLINs) provide both direct and indirect protection against bites from mosquitoes potentially transmitting malaria. Direct personal protection is provided to net users given both the nets physical barrier and its insecticidal action. Indirect mass protection for the community is afforded through reduced infectious bites per person annually (entomological inoculation rate, EIR). Quantifying these protective effects can help strategize options for net interventions, particularly as insecticide-resistant mosquitoes spread.

These types of protection are inherently linked, rendering it impossible to empirically quantify the contribution of each to the overall  community effect, instead we investigate this with a modelling framework and compare model predictions to trends with Demographic Health Survey (DHS) data.

Our modelling exercise predicts that in a situation with an EIR of 100, the reduction in EIR from an untreated net used by 80% of the population is 52% [95% CI: 12% - 84%] for users and 21% [95% CI: 0% - 57%] for non-users. Due to the impact of the insecticide, the reduction in EIR for LLINs is 89% [95% CI: 67% - 98%] for users and 74% [95% CI: 48% - 92%] for non-users, but this protection reduces as insecticide resistance in mosquitoes increases. Modelled trends in the difference in protection between users and non-users across endemicity and net usage levels are consistent with DHS data (2000-2018).

This study supports the concept of a community effect from LLINs, highlights the value of blocking and killing mosquitoes for community protection. Achieving high LLIN usage is always preferential, but there remains protection to non-users as the number of people using nets increases."
biorxiv,10.1101/2024.08.20.608746,10.1093/pnasnexus/pgae440,PNAS Nexus,Pollen foraging mediates exposure to dichotomous stressor syndromes in honey bees,"Wizenberg, S. B.; French, S. K.; Newburn, L. R.; Pepinelli, M.; Conflitti, I. M.; Moubony, M.; Ritchie, C.; Jamieson, A.; Richardson, R. T.; Travas, A.; Imrit, M. A.; Chihata, M.; Higo, H.; Common, J.; Walsh, E. M.; Bixby, M.; Guarna, M. M.; Pernal, S. F.; Hoover, S. E.; Currie, R. W.; Giovenazzo, P.; Guzman-Novoa, E.; Borges, D.; Foster, L. J.; Zayed, A.",ecology,2024-08-20,2024-10-18,"Recent declines in the health of honey bee colonies used for crop pollination pose a considerable threat to global food security. Foraging by honey bee workers represents the primary route of exposure to a plethora of toxins and pathogens known to affect bee health, but it remains unclear how foraging preferences impact colony-level patterns of stressor exposure. Resolving this knowledge gap is crucial for enhancing the health of honey bees and the agricultural systems that rely on them for pollination. To address this, we carried out a national-scale experiment encompassing 456 Canadian honey bee colonies to first characterize pollen foraging preferences in relation to major crops, then explore how foraging behaviour influences patterns of stressor exposure. We used a metagenetic approach to quantify honey bee dietary breadth and found that bees display distinct foraging preferences that vary substantially relative to crop type and proximity, and the breadth of foraging interactions can be used to predict the abundance and diversity of stressors a colony is exposed to. Foraging on diverse plant communities was associated with increased exposure to pathogens, while the opposite was associated with increased exposure to xenobiotics. Our work provides the first large-scale empirical evidence that pollen foraging behaviour plays an influential role in determining exposure to dichotomous stressor syndromes in honey bees.

Significance StatementInsect-mediated pollination is an important ecological process that is crucial for food production. Managed honey bee colonies are one of the most important insect pollinators, but their health has been under threat from a variety of stressors. Bee workers are primarily exposed to stressors while foraging and understanding how bee foraging preferences are related to exposure risk could provide pivotal information to improve management efforts. Here, we studied honey bee foraging preferences in relation to prominent Canadian crops and across a gradient of modified environments. We found that honey bees show distinct, measurable foraging preferences and that dietary diversity is a strong predictor of the stressors that colonies are exposed to."
biorxiv,10.1101/499699,10.1083/jcb.201812133,Journal of Cell Biology,SGK regulates meiotic resumption in ovarian starfish oocytes via intracellular pH-increase and cyclin B-Cdk1 activation,"Hosoda, E.; Hiraoka, D.; Hirohashi, N.; Omi, S.; Kishimoto, T.; Chiba, K.",molecular biology,2018-12-18,2019-09-19,"Tight regulation of intracellular pH (pHi) is essential for biological processes. Fully-grown oocytes, having a large nucleus called the germinal vesicle, arrest at meiotic prophase-I. Upon hormonal stimulus, oocytes resume meiosis to acquire fertilizability. At this time, pHi increases through Na+/H+ exchanger activity. However, regulation and function of this change remains obscure. Here we show that in starfish oocytes, serum- and glucocorticoid-regulated kinase (SGK) is activated by the PI3K/TORC2/PDK1 signaling after hormonal stimulus, and is required for the pHi increase and cyclin B-Cdk1 activation. Furthermore, when we clamped pHi at 6.7, corresponding to the pHi of unstimulated ovarian oocytes, hormonal stimulus normally induced cyclin B-Cdk1 activation; thereafter, oocytes initiated germinal vesicle breakdown (GVBD), but failed to complete it. Thus, SGK-dependent pHi increase is likely prerequisite for completion of GVBD in ovarian oocytes. We propose a model that SGK drives meiotic resumption through concomitant regulation of pHi and the cell-cycle machinery."
biorxiv,10.1101/747410,10.15252/embj.2019103315,The EMBO Journal,Autophagy mediates temporary reprogramming and dedifferentiation in plant somatic cells,"Rodriguez, E.; Chevalier, J.; Olsen, J.; Ansbol, J.; Kapousidou, V.; Zuo, Z.; Svenning, S.; Loefke, C.; Koemeda, S.; Drozdowskyj, P. S.; Jez, J.; Durnberger, G.; Kuenzl, F.; Schutzbier, M.; Mechtler, K.; Lolle, S.; Dagdas, Y.; Petersen, M.",plant biology,2019-08-28,2020-01-13,"Somatic cells acclimate to changes in the environment by temporary reprogramming. Much has been learned about transcription factors that induce these cell-state switches in both plants and animals, but how cells rapidly modulate their proteome remains elusive. Here, we show rapid induction of autophagy during temporary reprogramming in plants triggered by phytohormones, immune and danger signals. Quantitative proteomics following sequential reprogramming revealed that autophagy is required for timely decay of previous cellular states and for tweaking the proteome to acclimate to the new conditions. Signatures of previous cellular programs thus persist in autophagy deficient cells, affecting cellular decision-making. Concordantly, autophagy deficient cells fail to acclimatize to dynamic climate changes. Similarly, they have defects in dedifferentiating into pluripotent stem cells, and redifferentiation during organogenesis. These observations indicate that autophagy mediates cell state switches that underlie somatic cell reprogramming in plants and possibly other organisms, and thereby promotes phenotypic plasticity."
biorxiv,10.1101/2023.02.07.527545,10.1016/j.celrep.2023.112556,Cell Reports,Several cell-intrinsic effectors drive type I interferon-mediated restriction of HIV-1 in primary CD4+ T cells,"Itell, H. L.; Humes, D.; Overbaugh, J.",microbiology,2023-02-07,2023-05-23,"Type I interferon (IFN) upregulates proteins that inhibit HIV within infected cells. Prior studies have identified IFN-stimulated genes (ISGs) that impede lab-adapted HIV in cell lines, yet the ISG(s) that mediate IFN restriction in HIV target cells, primary CD4+ T cells, are unknown. Here, we interrogate ISG restriction of primary HIV in CD4+ T cells. We performed CRISPR-knockout screens using a custom library that specifically targets ISGs expressed in CD4+ T cells and validated top hits. Our investigation identified new HIV-restricting ISGs (HM13, IGFBP2, LAP3) and found that two previously studied factors (IFI16, UBE2L6) are IFN effectors in T cells. Inactivation of these five ISGs in combination further diminished IFNs protective effect against six diverse HIV strains. This work demonstrates that IFN restriction of HIV is multifaceted, resulting from several effectors functioning collectively, and establishes a primary cell ISG screening model to identify both single and combinations of HIV-restricting ISGs."
biorxiv,10.1101/2020.12.24.424245,10.1039/d1ra00426c,RSC Advances,Single point mutations can potentially enhance infectivity of SARS-CoV-2 revealed by in silico affinity maturation and SPR assay,"Xue, T.; Wu, W.; Guo, N.; Wu, C.; Huang, J.; Lai, L.; Liu, H.; Li, Y.; Wang, T.; Wang, Y.",bioinformatics,2020-12-26,2021-05-10,"The RBD (receptor binding domain) of the SARS-CoV-2 virus S (spike) protein mediates the viral cell attachment and serves as a promising target for therapeutics development. Mutations on the S-RBD may alter its affinity to cell receptor and affect the potency of vaccines and antibodies. Here we used an in-silico approach to predict how mutations on RBD affect its binding affinity to hACE2 (human angiotensin-converting enzyme2). The effect of all single point mutations on the interface was predicted. SPR assay result shows that 6 out of 9 selected mutations can strengthen binding affinity. Our prediction has reasonable agreement with the previous deep mutational scan results and recently reported mutants. Our work demonstrated in silico method as a powerful tool to forecast more powerful virus mutants, which will significantly benefit for the development of broadly neutralizing vaccine and antibody."
biorxiv,10.1101/2024.11.01.621499,10.1093/g3journal/jkaf061,G3: Genes|Genomes|Genetics,Kudoa genomes from contaminated hosts reveal extensive gene order conservation and rapid sequence evolution,"Weber, C. C.; Paulini, M.; Wellcome Sanger Institute Tree of Life Management, Samples and Laboratory team,  ; Wellcome Sanger Institute Tree of Life Core Informatics team,  ; Blaxter, M. L.",genomics,2024-11-03,2025-03-20,"Myxozoans are obligate endoparasites that belong to the phylum Cnidaria. Compared to their closest free-living relatives, they have evolved highly simplified body plans and reduced genomes. Kudoa iwatai, for example, has lost upwards of two thirds of genes thought to have been present in its ancestors. However, little is known about myxozoan genome architecture because of a lack of sufficiently contiguous genome assemblies.

This work presents two new, near-chromosomal Kudoa genomes, built entirely from low-coverage long reads from infected fish samples. The results illustrate the potential of using unsupervised learning methods to disentangle sequences from different sources, and facilitate producing genomes from undersampled taxa. Extracting distinct components of chromatin interaction networks allows scaffolds from mixed samples to be assigned to their source genomes. Meanwhile, low-dimensional embeddings of read composition permit targeted assembly of potential parasite reads.

Despite drastic changes in genome architecture in the lineage leading to Kudoa and considerable sequence divergence between the two genomes, gene order is highly conserved. Although parasitic cnidarians show rapid protein evolution compared to their free-living relatives, there is limited evidence of less efficient selection. While deleterious substitutions may become fixed at a higher rate, large evolutionary distances between species make robustly analysing patterns of molecular evolution challenging. These observations highlight the importance of filling in taxonomic gaps, to allow a comprehensive assessment of the impacts of parasitism on genome evolution."
medrxiv,10.1101/2021.10.11.21264835,10.1136/bmjresp-2022-001258,BMJ Open Respiratory Research,Vitamin D Status: A U-shaped relationship for SARS-CoV-2 seropositivity in UK healthcare workers,"Mackay, W. R.; Lugg, S. T.; Faniyi, A. A.; Faustini, S.; Webster, C.; Duffy, J.; Hewison, M.; Shields, A.; Richter, A. A.; Parekh, D.; Scott, A.; Thickett, D. R.",respiratory medicine,2021-10-14,2022-09-27,"BackgroundVitamin D has numerous mechanistic roles within the immune system. There is increasing evidence to suggest Vitamin D deficiency may increase individuals risk of COVID-19 infection and susceptibility. We aimed to determine the relationship between severity of vitamin D deficiency and sufficiency and COVID-19 infection within healthcare workers.

MethodsThe study included an observational cohort of healthcare workers who isolated due to COVID-19 symptoms from 12th to 22nd May 2020, from the University Hospitals Birmingham NHS Foundation Trust (UHBFT). This was part of the COVID-19 convalescent immunity study (COCO). Data collected included SARS-CoV-2 seroconversion status, serum 25(OH)D3 levels as well as age, body mass index (BMI), sex, ethnicity, job role, and co-morbidities. Participants were grouped into four vitamin D (VD) categories. 1) Severe VD deficiency (VD <30 nmol/L); 2) VD deficiency (30 nmol/L [&le;] VD <50 nmol/L); 3) VD insufficiency (50 nmol/L [&le;] VD <75 nmol/L); 4) VD sufficiency (VD [&ge;]75 nmol/L).

ResultsWhen VD levels were compared against COVID-19 seropositivity rate, a U-shaped curve was identified in the total population. This trend repeated when split into subgroups of age, sex, ethnicity, BMI, and co-morbidity status. Significant difference was identified in the COVID-19 seropositivity rate between VD groups between multiple VD groups in the total population, males, females, BAME, BMI<30 (kg/m2), 0 and +1 comorbidities; the majority of which were differences when the severely VD deficient category were compared to the other group. A significantly larger proportion of those within the Black, Asian, minority ethnic (BAME) group (vs. white ethnicity) were severely vitamin D deficient (P <0.00001). A significantly higher proportion of the 0-comorbidity subgroup were vitamin D deficient in comparison to the 1+ comorbidity subgroup (P = 0.046).

ConclusionsFurther investigation of the U-shaped curves is required to determine whether high VD levels can have a detrimental effect on susceptibility to COVID-19 infection. Future randomised clinical trials of VD supplementation could potentially identify  optimal VD levels. This would allow for targeted therapeutic treatment for those at-risk such as in the BAME group."
medrxiv,10.1101/2021.03.17.21253813,10.1016/j.mbs.2021.108732,Mathematical Biosciences,A simple model for how the risk of pandemics from different virus families depends on viral and human traits,"Doelger, J.; Chakraborty, A. K.; Kardar, M.",epidemiology,2021-03-24,2021-11-06,"Different virus families, like influenza or corona viruses, exhibit characteristic traits such as typical modes of transmission and replication as well as specific animal reservoirs in which each family of viruses circulate. These traits of genetically related groups of viruses influence how easily an animal virus can adapt to infect humans, how well novel human variants can spread in the population, and the risk of causing a global pandemic. Relating the traits of virus families to their risk of causing future pandemics, and identification of the key time scales within which public health interventions can control the spread of a new virus that could cause a pandemic, are obviously significant. We address these issues using a minimal model whose parameters are related to characteristic traits of different virus families. A key trait of viruses that ""spillover"" from animal reservoirs to infect humans is their ability to propagate infection through the human population (fitness). We find that the risk of pandemics emerging from virus families characterized by a wide distribution of the fitness of spillover strains is much higher than if such strains were characterized by narrow fitness distributions around the same mean. The dependences of the risk of a pandemic on various model parameters exhibit inflection points. We find that these inflection points define informative thresholds. For example, the inflection point in variation of pandemic risk with time after the spillover represents a threshold time beyond which global interventions would likely be too late to prevent a pandemic."
